date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,0053,國票-南科,0037003700390065,0,0,0,0.0,8,sell,2026-08-25
8/25,2026-08-25,0053,富邦-台北,9623,1,0,1,1.02,9,buy,2026-08-25
8/25,2026-08-25,0053,中國信託-高雄,003600310036004b,0,0,0,0.0,9,sell,2026-08-25
8/25,2026-08-25,0053,凱基-湖口,003900320030004e,1,0,1,1.02,10,buy,2026-08-25
8/25,2026-08-25,0053,富邦-新店,9661,0,0,0,0.0,10,sell,2026-08-25
8/25,2026-08-25,0053,兆豐-高雄,003700300030005a,1,0,1,1.02,11,buy,2026-08-25
8/25,2026-08-25,0053,(牛牛牛)亞-網路,6012,0,0,0,0.0,11,sell,2026-08-25
8/25,2026-08-25,0053,新光-桃園,8565,1,0,1,1.02,12,buy,2026-08-25
8/25,2026-08-25,0053,台新-板橋,0039004200320062,0,0,0,0.0,12,sell,2026-08-25
8/25,2026-08-25,0053,永豐金-板新,003900410039004a,1,0,1,1.02,13,buy,2026-08-25
8/25,2026-08-25,0053,永豐金-市政,0039004100390057,0,0,0,0.0,13,sell,2026-08-25
8/25,2026-08-25,0053,群益金鼎-萬華,0039003100330049,1,0,1,1.02,14,buy,2026-08-25
8/25,2026-08-25,0053,元大-新營,9825,0,0,0,0.0,14,sell,2026-08-25
8/25,2026-08-25,0053,元大-竹北,0039003800310042,1,0,1,1.02,15,buy,2026-08-25
8/25,2026-08-25,0055,元大證券,9800,252,0,252,50.4,1,buy,2026-08-25
8/25,2026-08-25,0055,台灣摩根士丹利,1470,1,200,-199,39.8,1,sell,2026-08-25
8/25,2026-08-25,0055,永豐金證券,0039004100300030,88,4,84,16.8,2,buy,2026-08-25
8/25,2026-08-25,0055,凱基-信義,9216,0,24,-24,4.8,2,sell,2026-08-25
8/25,2026-08-25,0055,中國信託,6160,27,1,26,5.2,3,buy,2026-08-25
8/25,2026-08-25,0055,元大-中崙,9813,0,21,-21,4.2,3,sell,2026-08-25
8/25,2026-08-25,0055,富邦-木柵,003900360031004d,10,1,9,1.8,4,buy,2026-08-25
8/25,2026-08-25,0055,台新-大裕,003900420032006c,0,15,-15,3.0,4,sell,2026-08-25
8/25,2026-08-25,0055,元大-松山,0039003800310070,8,0,8,1.6,5,buy,2026-08-25
8/25,2026-08-25,0055,元大-六合,0039003800320043,0,13,-13,2.6,5,sell,2026-08-25
8/25,2026-08-25,0055,凱基-台北,9268,16,10,6,1.2,6,buy,2026-08-25
8/25,2026-08-25,0055,元大-台北,0039003800300068,0,11,-11,2.2,6,sell,2026-08-25
8/25,2026-08-25,0055,第一金-台南,5384,5,0,5,1.0,7,buy,2026-08-25
8/25,2026-08-25,0055,凱基-城中,9227,0,10,-10,2.0,7,sell,2026-08-25
8/25,2026-08-25,0055,大昌-樹林,6461,5,0,5,1.0,8,buy,2026-08-25
8/25,2026-08-25,0055,元大-內湖,003900380039004e,1,10,-9,1.8,8,sell,2026-08-25
8/25,2026-08-25,0055,群益金鼎-民權,9131,5,0,5,1.0,9,buy,2026-08-25
8/25,2026-08-25,0055,群益金鼎-瑞豐,0039003100380075,2,10,-8,1.6,9,sell,2026-08-25
8/25,2026-08-25,0055,台新,0039004200300030,6,2,4,0.8,10,buy,2026-08-25
8/25,2026-08-25,0055,合庫-西台中,0031003000320046,0,8,-8,1.6,10,sell,2026-08-25
8/25,2026-08-25,0055,合庫-自強,0031003000320043,4,0,4,0.8,11,buy,2026-08-25
8/25,2026-08-25,0055,富邦-永和,9654,0,7,-7,1.4,11,sell,2026-08-25
8/25,2026-08-25,0055,國泰證券,8880,3,0,3,0.6,12,buy,2026-08-25
8/25,2026-08-25,0055,新百王,6210,0,6,-6,1.2,12,sell,2026-08-25
8/25,2026-08-25,0055,合庫-台南,1022,3,0,3,0.6,13,buy,2026-08-25
8/25,2026-08-25,0055,兆豐-台中,7003,0,6,-6,1.2,13,sell,2026-08-25
8/25,2026-08-25,0055,兆豐-南門,0037003000300067,3,0,3,0.6,14,buy,2026-08-25
8/25,2026-08-25,0055,元大-館前,003900380034004b,0,6,-6,1.2,14,sell,2026-08-25
8/25,2026-08-25,0055,富邦證券,9600,3,0,3,0.6,15,buy,2026-08-25
8/25,2026-08-25,0055,凱基-士林,9238,0,5,-5,1.0,15,sell,2026-08-25
8/25,2026-08-25,0056,元大證券,9800,2153,643,1510,7.34,1,buy,2026-08-25
8/25,2026-08-25,0056,凱基-台北,9268,1371,4043,-2672,12.99,1,sell,2026-08-25
8/25,2026-08-25,0056,國泰證券,8880,439,0,439,2.13,2,buy,2026-08-25
